word;pos;definition
Lorikeet;n.;Any one numerous species of small brush-tongued parrots or lories, found mostly in Australia, New Guinea and the adjacent islands, with some forms in the East Indies. They are arboreal in their habits and feed largely upon the honey of flowers. They belong to Trichoglossus, Loriculus, and several allied genera.
Lorimer;n.;Alt. of Loriner
Loriner;n.;A maker of bits, spurs, and metal mounting for bridles and saddles; hence, a saddler.
Loring;n.;Instructive discourse.
Loriot;n.;The golden oriole of Europe. See Oriole.
Loris;n.;Any one of several species of small lemurs of the genus Stenops. They have long, slender limbs and large eyes, and are arboreal in their habits. The slender loris (S. gracilis), of Ceylon, in one of the best known species.
Lorn;a.;Lost; undone; ruined.
Lorn;a.;Forsaken; abandoned; solitary; bereft; as, a lone, lorn woman.
Lorries;pl. ;of Lorry
Lorrie;n.;Alt. of Lorry
Lorry;n.;A small cart or wagon, as those used on the tramways in mines to carry coal or rubbish; also, a barrow or truck for shifting baggage, as at railway stations.
Lories;pl. ;of Lory
Lory;n.;Any one of many species of small parrots of the family Trichoglossidae, generally having the tongue papillose at the tip, and the mandibles straighter and less toothed than in common parrots. They are found in the East Indies, Australia, New Guinea, and the adjacent islands.  They feed mostly on soft fruits and on the honey of flowers.
Los;n.;Praise. See Loos.
Losable;a.;Such as can be lost.
Losange;n.;See Lozenge.
Losing;imp. & p. p.;of Lose
Lose;v. t.;To part with unintentionally or unwillingly, as by accident, misfortune, negligence, penalty, forfeit, etc.; to be deprived of; as, to lose money from one's purse or pocket, or in business or gaming; to lose an arm or a leg by amputation; to lose men in battle.
Lose;v. t.;To cease to have; to possess no longer; to suffer diminution of; as, to lose one's relish for anything; to lose one's health.
Lose;v. t.;Not to employ; to employ ineffectually; to throw away; to waste; to squander; as, to lose a day; to lose the benefits of instruction.
Lose;v. t.;To wander from; to miss, so as not to be able to and; to go astray from; as, to lose one's way.
Lose;v. t.;To ruin; to destroy; as destroy; as, the ship was lost on the ledge.
Lose;v. t.;To be deprived of the view of; to cease to see or know the whereabouts of; as, he lost his companion in the crowd.
Lose;v. t.;To fail to obtain or enjoy; to fail to gain or win; hence, to fail to catch with the mind or senses; to miss; as, I lost a part of what he said.
Lose;v. t.;To cause to part with; to deprive of.
Lose;v. t.;To prevent from gaining or obtaining.
Lose;v. i.;To suffer loss, disadvantage, or defeat; to be worse off, esp. as the result of any kind of contest.
Losel;n.;One who loses by sloth or neglect; a worthless person; a lorel.
Losel;a.;Wasteful; slothful.
Losenger;n.;A flatterer; a deceiver; a cozener.
Losengerie;n.;Flattery; deceit; trickery.
Loser;n.;One who loses.
Losing;a.;Given to flattery or deceit; flattering; cozening.
Losing;v. t.;Causing or incurring loss; as, a losing game or business.
Losingly;adv.;In a manner to incur loss.
Loss;v. t.;The act of losing; failure; destruction; privation; as, the loss of property; loss of money by gaming; loss of health or reputation.
Loss;v. t.;The state of losing or having lost; the privation, defect, misfortune, harm, etc., which ensues from losing.
Loss;v. t.;That which is lost or from which one has parted; waste; -- opposed to gain or increase; as, the loss of liquor by leakage was considerable.
Loss;v. t.;The state of being lost or destroyed; especially, the wreck or foundering of a ship or other vessel.
Loss;v. t.;Failure to gain or win; as, loss of a race or battle.
Loss;v. t.;Failure to use advantageously; as, loss of time.
Loss;v. t.;Killed, wounded, and captured persons, or captured property.
Loss;v. t.;Destruction or diminution of value, if brought about in a manner provided for in the insurance contract (as destruction by fire or wreck, damage by water or smoke), or the death or injury of an insured person; also, the sum paid or payable therefor; as, the losses of the company this year amount to a million of dollars.
Lossful;a.;Detrimental.
Lossless;a.;Free from loss.
Lost;v. t.;Parted with unwillingly or unintentionally; not to be found; missing; as, a lost book or sheep.
Lost;v. t.;Parted with; no longer held or possessed; as, a lost limb; lost honor.
Lost;v. t.;Not employed or enjoyed; thrown away; employed ineffectually; wasted; squandered; as, a lost day; a lost opportunity or benefit.
Lost;v. t.;Having wandered from, or unable to find, the way; bewildered; perplexed; as, a child lost in the woods; a stranger lost in London.
Lost;v. t.;Ruined or destroyed, either physically or morally; past help or hope; as, a ship lost at sea; a woman lost to virtue; a lost soul.
Lost;v. t.;Hardened beyond sensibility or recovery; alienated; insensible; as, lost to shame; lost to all sense of honor.
Lost;v. t.;Not perceptible to the senses; no longer visible; as, an island lost in a fog; a person lost in a crowd.
Lost;v. t.;Occupied with, or under the influence of, something, so as to be insensible of external things; as, to be lost in thought.
Lot;n.;That which happens without human design or forethought; chance; accident; hazard; fortune; fate.
Lot;n.;Anything (as a die, pebble, ball, or slip of paper) used in determining a question by chance, or without man's choice or will; as, to cast or draw lots.
Lot;n.;The part, or fate, which falls to one, as it were, by chance, or without his planning.
Lot;n.;A separate portion; a number of things taken collectively; as, a lot of stationery; -- colloquially, sometimes of people; as, a sorry lot; a bad lot.
Lot;n.;A distinct portion or plot of land, usually smaller than a field; as, a building lot in a city.
Lot;n.;A large quantity or number; a great deal; as, to spend a lot of money; lots of people think so.
Lot;n.;A prize in a lottery.
Lotted;imp. & p. p.;of Lot
Lotting;p. pr. & vb. n.;of Lot
Lot;v. t.;To allot; to sort; to portion.
Lote;n.;A large tree (Celtis australis), found in the south of Europe. It has a hard wood, and bears a cherrylike fruit. Called also nettle tree.
Lote;n.;The European burbot.
Lote;v. i.;To lurk; to lie hid.
Loth;a.;Alt. of Lothsome
Lothly;a.;Alt. of Lothsome
Lothsome;a.;See Loath, Loathly, etc.
Lothario;n.;A gay seducer of women; a libertine.
Lotion;n.;A washing, especially of the skin for the purpose of rendering it fair.
Lotion;n.;A liquid preparation for bathing the skin, or an injured or diseased part, either for a medicinal purpose, or for improving its appearance.
Loto;n.;See Lotto.
Lotong;n.;An East Indian monkey (Semnopithecus femoralis).
Lotophagi;n. pl.;A people visited by Ulysses in his wanderings. They subsisted on the lotus. See Lotus (b), and Lotus-eater.
Lotos;n.;See Lotus.
Lotteries;pl. ;of Lottery
Lottery;n.;A scheme for the distribution of prizes by lot or chance; esp., a gaming scheme in which one or more tickets bearing particular numbers draw prizes, and the rest of tickets are blanks. Fig. : An affair of chance.
Lottery;n.;Allotment; thing allotted.
Lotto;n.;A game of chance, played with cards, on which are inscribed numbers, and any contrivance (as a wheel containing numbered balls) for determining a set of numbers by chance. The player holding a card having on it the set of numbers drawn from the wheel takes the stakes after a certain percentage of them has been deducted for the dealer. A variety of lotto is called keno.
Loture;n.;See Lotion.
Lotus;n.;A name of several kinds of water lilies; as Nelumbium speciosum, used in religious ceremonies, anciently in Egypt, and to this day in Asia; Nelumbium luteum, the American lotus; and Nymphaea Lotus and N. caerulea, the respectively white-flowered and blue-flowered lotus of modern Egypt, which, with Nelumbium speciosum, are figured on its ancient monuments.
Lotus;n.;The lotus of the lotuseaters, probably a tree found in Northern Africa, Sicily, Portugal, and Spain (Zizyphus Lotus), the fruit of which is mildly sweet. It was fabled by the ancients to make strangers who ate of it forget their native country, or lose all desire to return to it.
Lotus;n.;The lote, or nettle tree. See Lote.
Lotus;n.;A genus (Lotus) of leguminous plants much resembling clover.
Lotus;n.;An ornament much used in Egyptian architecture, generally asserted to have been suggested by the Egyptian water lily.
Lotus-eater;n.;Alt. of Lotos-eater
Lotos-eater;n.;One who ate the fruit or leaf of the lotus, and, as a consequence, gave himself up to indolence and daydreams; one of the Lotophagi.
Louchettes;n. pl.;Goggles intended to rectify strabismus by permitting vision only directly in front.
Loud;superl.;Having, making, or being a strong or great sound; noisy; striking the ear with great force; as, a loud cry; loud thunder.
Loud;superl.;Clamorous; boisterous.
Loud;superl.;Emphatic; impressive; urgent; as, a loud call for united effort.
Loud;superl.;Ostentatious; likely to attract attention; gaudy; as, a loud style of dress; loud colors.
Loud;adv.;With loudness; loudly.
Loudful;a.;Noisy.
Loudly;adv.;In a loud manner.
Loud-mouthed;a.;Having a loud voice; talking or sounding noisily; noisily impudent.
Loudness;n.;The quality or state of being loud.
Loud-voiced;a.;Having a loud voice; noisy; clamorous.
Lough;n.;A loch or lake; -- so spelt in Ireland.
Lough;obs. strong imp.;of Laugh.
Louis d'or;;Formerly, a gold coin of France nominally worth twenty shillings sterling, but of varying value; -- first struck in 1640.
Lonis quatorze;;Of, pertaining to, or resembling, the art or style of the times of Louis XIV. of France; as, Louis quatorze architecture.
Louk;n.;An accomplice; a "pal."
Lounged;imp. & p. p.;of Lounge
Lounging;p. pr. & vb. n.;of Lounge
Lounge;a.;To spend time lazily, whether lolling or idly sauntering; to pass time indolently; to stand, sit, or recline, in an indolent manner.
Lounge;n.;An idle gait or stroll; the state of reclining indolently; a place of lounging.
Lounge;n.;A piece of furniture resembling a sofa, upon which one may lie or recline.
Lounger;n.;One who lounges; ar idler.
Loup;n.;See 1st Loop.
Loup-cervier;n.;The Canada lynx. See Lynx.
Loup-loup;n.;The Pomeranian or Spitz dog.
Loups;n. pl.;The Pawnees, a tribe of North American Indians whose principal totem was the wolf.
Lour;n.;An Asiatic sardine (Clupea Neohowii), valued for its oil.
Louri;n.;See Lory.
Lice;pl. ;of Louse
Louse;n.;Any one of numerous species of small, wingless, suctorial, parasitic insects belonging to a tribe (Pediculina), now usually regarded as degraded Hemiptera. To this group belong of the lice of man and other mammals; as, the head louse of man (Pediculus capitis), the body louse (P. vestimenti), and the crab louse (Phthirius pubis), and many others. See Crab louse, Dog louse, Cattle louse, etc., under Crab, Dog, etc.
Louse;n.;Any one of numerous small mandibulate insects, mostly parasitic on birds, and feeding on the feathers. They are known as Mallophaga, or bird lice, though some occur on the hair of mammals. They are usually regarded as degraded Pseudoneuroptera. See Mallophaga.
Louse;n.;Any one of the numerous species of aphids, or plant lice. See Aphid.
Louse;n.;Any small crustacean parasitic on fishes. See Branchiura, and Ichthvophthira.
Louse;v. t.;To clean from lice.
Lousewort;n.;Any species of Pedicularis, a genus of perennial herbs. It was said to make sheep that fed on it lousy.
Lousily;adv.;In a lousy manner; in a mean, paltry manner; scurvily.
Lousiness;n.;The state or quality of being lousy.
Lousy;a.;Infested with lice.
Lousy;a.;Mean; contemptible; as, lousy knave.
